POP1	POP2	HUDSON_FST
BE_dep	DK_rom	0.063146
BE_dep	DK_tho	0.0868134
BE_dep	NL_deh	0.052441
BE_dep	NL_zan	0.0554925
BE_dep	SE_yst_1	0.17482
BE_dep	SE_yst_2	0.127875
BE_dep	UK_mab	0.0767006
BE_dep	UK_stu	0.126381
DK_rom	DK_tho	0.0217367
DK_rom	NL_deh	0.0445341
DK_rom	NL_zan	0.0630927
DK_rom	SE_yst_1	0.112338
DK_rom	SE_yst_2	0.118751
DK_rom	UK_mab	0.069768
DK_rom	UK_stu	0.135693
DK_tho	NL_deh	0.0689576
DK_tho	NL_zan	0.0887429
DK_tho	SE_yst_1	0.111674
DK_tho	SE_yst_2	0.140176
DK_tho	UK_mab	0.0825017
DK_tho	UK_stu	0.156127
NL_deh	NL_zan	0.0340891
NL_deh	SE_yst_1	0.159277
NL_deh	SE_yst_2	0.0953782
NL_deh	UK_mab	0.0767428
NL_deh	UK_stu	0.135976
NL_zan	SE_yst_1	0.180943
NL_zan	SE_yst_2	0.120129
NL_zan	UK_mab	0.0874865
NL_zan	UK_stu	0.1385
PT_bor	PT_ilh	0.151222
SE_yst_1	SE_yst_2	0.228534
SE_yst_1	UK_mab	0.173254
SE_yst_1	UK_stu	0.234142
SE_yst_2	UK_mab	0.147352
SE_yst_2	UK_stu	0.209413
UK_mab	UK_stu	0.14854
