POP1	POP2	km
BE_dep	PT_bor	1793.707321
DK_rom	PT_bor	2390.597726
DK_tho	PT_bor	2482.525563
NL_deh	PT_bor	2050.790199
NL_zan	PT_bor	1944.875298
BE_dep	PT_ilh	1779.424728
DK_rom	PT_ilh	2374.118393
DK_tho	PT_ilh	2469.912778
NL_deh	PT_ilh	2036.349287
NL_zan	PT_ilh	1929.051397
PT_bor	SE_yst_1	2654.66926
PT_ilh	SE_yst_1	2630.185878
PT_bor	SE_yst_2	2654.66926
PT_ilh	SE_yst_2	2630.185878
PT_bor	UK_mab	1931.007169
PT_ilh	UK_mab	1929.366458
PT_bor	UK_stu	1597.352341
PT_ilh	UK_stu	1597.06027
