POP1	POP2	km
BE_dep	DK_rom	598.035386
BE_dep	DK_tho	690.8956266
DK_rom	DK_tho	139.2884662
BE_dep	NL_deh	257.0974965
DK_rom	NL_deh	342.4673641
DK_tho	NL_deh	435.0854994
BE_dep	NL_zan	153.758214
DK_rom	NL_zan	445.7651196
DK_tho	NL_zan	544.8914541
NL_deh	NL_zan	110.8891975
PT_bor	PT_ilh	90.25785087
BE_dep	SE_yst_1	890.8612321
DK_rom	SE_yst_1	342.3810288
DK_tho	SE_yst_1	373.6984742
NL_deh	SE_yst_1	652.5684218
NL_zan	SE_yst_1	738.5285925
BE_dep	SE_yst_2	890.8612321
DK_rom	SE_yst_2	342.3810288
DK_tho	SE_yst_2	373.6984742
NL_deh	SE_yst_2	652.5684218
NL_zan	SE_yst_2	738.5285925
SE_yst_1	SE_yst_2	0
BE_dep	UK_mab	294.8353873
DK_rom	UK_mab	570.5096329
DK_tho	UK_mab	605.4973182
NL_deh	UK_mab	300.4909265
NL_zan	UK_mab	300.7354658
SE_yst_1	UK_mab	909.8149119
SE_yst_2	UK_mab	909.8149119
BE_dep	UK_stu	321.415848
DK_rom	UK_stu	858.1886202
DK_tho	UK_stu	919.1232263
NL_deh	UK_stu	527.2502657
NL_zan	UK_stu	453.3939595
SE_yst_1	UK_stu	1179.727536
SE_yst_2	UK_stu	1179.727536
UK_mab	UK_stu	334.0993308
